account_id,instrument_id,holding_quantity,average_cost,market_price,market_value
ACC000443,INS00003,5,235.45,141.48,707.40
ACC000367,INS00017,100,1757.41,1174.43,117443.00
ACC000256,INS00025,70,1805.22,2136.03,149522.10
ACC000529,INS00099,100,673.45,2375.62,237562.00
ACC000088,INS00008,25,1597.39,772.43,19310.75
ACC000065,INS00107,5,533.97,2398.47,11992.35
ACC000072,INS00047,10,1517.99,2157.67,21576.70
ACC000148,INS00093,10,1331.01,489.04,4890.40
ACC000630,INS00090,50,2118.77,1877.26,93863.00
ACC000140,INS00005,100,943.06,664.65,66465.00
ACC000056,INS00094,50,298.77,349.57,17478.50
ACC000079,INS00040,1,858.70,194.99,194.99
ACC000220,INS00007,50,2332.18,1192.58,59629.00
ACC000167,INS00095,1,665.00,1127.64,1127.64
ACC000283,INS00070,20,1376.26,1751.26,35025.20
ACC000531,INS00030,50,1280.18,1909.59,95479.50
ACC000262,INS00026,100,1396.48,1424.47,142447.00
ACC000461,INS00063,50,1818.56,1990.39,99519.50
ACC000746,INS00017,10,1626.13,1174.43,11744.30
ACC000591,INS00117,5,1638.83,1635.76,8178.80
ACC000607,INS00096,20,463.35,911.38,18227.60
ACC000512,INS00024,50,1248.76,186.27,9313.50
ACC000448,INS00089,5,1767.98,1465.67,7328.35
ACC000065,INS00099,5,2195.65,2375.62,11878.10
ACC000335,INS00113,20,1519.68,2172.34,43446.80
ACC000574,INS00053,1,880.48,1409.33,1409.33
ACC000470,INS00051,1,2007.95,241.43,241.43
ACC000778,INS00093,25,1388.06,489.04,12226.00
ACC000487,INS00009,5,751.16,823.52,4117.60
ACC000786,INS00078,50,550.52,2378.47,118923.50
ACC000049,INS00035,50,321.41,2143.35,107167.50
ACC000608,INS00065,1,1914.30,258.02,258.02
ACC000286,INS00093,1,1161.59,489.04,489.04
ACC000034,INS00074,20,1577.45,411.12,8222.40
ACC000388,INS00036,25,1908.36,1393.64,34841.00
ACC000373,INS00015,1,2296.54,325.00,325.00
ACC000102,INS00040,25,1360.90,194.99,4874.75
ACC000701,INS00014,50,1966.95,2252.52,112626.00
ACC000596,INS00073,25,1370.32,1686.90,42172.50
ACC000577,INS00020,20,2420.93,1176.39,23527.80
ACC000025,INS00019,100,1616.10,1537.99,153799.00
ACC000504,INS00015,100,2287.09,325.00,32500.00
ACC000637,INS00067,102,920.83,1559.89,159108.78
ACC000325,INS00085,100,1778.35,1113.22,111322.00
ACC000079,INS00083,20,1844.69,1776.11,35522.20
ACC000523,INS00087,25,2283.51,2168.72,54218.00
ACC000432,INS00071,1,1645.62,2357.58,2357.58
ACC000176,INS00012,5,975.23,676.70,3383.50
ACC000461,INS00088,20,1046.98,431.96,8639.20
ACC000664,INS00011,100,1771.83,2342.69,234269.00
ACC000720,INS00059,5,1827.74,2386.31,11931.55
ACC000666,INS00084,1,1186.23,1228.71,1228.71
ACC000094,INS00105,2,385.15,722.51,1445.02
ACC000465,INS00104,50,859.93,1443.41,72170.50
ACC000762,INS00022,100,668.94,451.67,45167.00
ACC000226,INS00003,100,307.61,141.48,14148.00
ACC000576,INS00089,100,1723.56,1465.67,146567.00
ACC000255,INS00092,100,1532.90,217.65,21765.00
