business_date,instrument_id,close_price
2026-04-19,INS00001,1573.68
2026-04-19,INS00002,242.59
2026-04-19,INS00003,141.48
2026-04-19,INS00004,1680.75
2026-04-19,INS00005,664.65
2026-04-19,INS00006,181.28
2026-04-19,INS00007,1192.58
2026-04-19,INS00008,772.43
2026-04-19,INS00009,823.52
2026-04-19,INS00010,220.80
2026-04-19,INS00011,2342.69
2026-04-19,INS00012,676.70
2026-04-19,INS00013,903.22
2026-04-19,INS00014,2252.52
2026-04-19,INS00015,325.00
2026-04-19,INS00016,2269.08
2026-04-19,INS00017,1174.43
2026-04-19,INS00018,1204.59
2026-04-19,INS00019,1537.99
2026-04-19,INS00020,1176.39
2026-04-19,INS00021,2333.39
2026-04-19,INS00022,451.67
2026-04-19,INS00023,570.07
2026-04-19,INS00024,186.27
2026-04-19,INS00025,2136.03
2026-04-19,INS00026,1424.47
2026-04-19,INS00027,686.11
2026-04-19,INS00028,150.85
2026-04-19,INS00029,381.36
2026-04-19,INS00030,1909.59
2026-04-19,INS00031,275.13
2026-04-19,INS00032,584.03
2026-04-19,INS00033,190.76
2026-04-19,INS00034,2251.55
2026-04-19,INS00035,2143.35
2026-04-19,INS00036,1393.64
2026-04-19,INS00037,298.37
2026-04-19,INS00038,1592.63
2026-04-19,INS00039,218.91
2026-04-19,INS00040,194.99
2026-04-19,INS00041,844.27
2026-04-19,INS00042,1077.92
2026-04-19,INS00043,277.51
2026-04-19,INS00044,1726.72
2026-04-19,INS00045,1640.34
2026-04-19,INS00046,2100.81
2026-04-19,INS00047,2157.67
2026-04-19,INS00048,1252.22
2026-04-19,INS00049,309.39
2026-04-19,INS00050,335.70
2026-04-19,INS00051,241.43
2026-04-19,INS00052,1058.08
2026-04-19,INS00053,1409.33
2026-04-19,INS00054,2355.51
2026-04-19,INS00055,2162.29
2026-04-19,INS00056,1471.01
2026-04-19,INS00057,2291.85
2026-04-19,INS00058,1445.86
2026-04-19,INS00059,2386.31
2026-04-19,INS00060,1623.04
2026-04-19,INS00061,337.72
2026-04-19,INS00062,2248.81
2026-04-19,INS00063,1990.39
2026-04-19,INS00064,729.71
2026-04-19,INS00065,258.02
2026-04-19,INS00066,1878.41
2026-04-19,INS00067,1559.89
2026-04-19,INS00068,856.28
2026-04-19,INS00069,832.19
2026-04-19,INS00070,1751.26
2026-04-19,INS00071,2357.58
2026-04-19,INS00072,1413.22
2026-04-19,INS00073,1686.90
2026-04-19,INS00074,411.12
2026-04-19,INS00075,273.30
2026-04-19,INS00076,420.21
2026-04-19,INS00077,2492.39
2026-04-19,INS00078,2378.47
2026-04-19,INS00079,776.64
2026-04-19,INS00080,2283.37
2026-04-19,INS00081,1784.41
2026-04-19,INS00082,1312.14
2026-04-19,INS00083,1776.11
2026-04-19,INS00084,1228.71
2026-04-19,INS00085,1113.22
2026-04-19,INS00086,294.16
2026-04-19,INS00087,2168.72
2026-04-19,INS00088,431.96
2026-04-19,INS00089,1465.67
2026-04-19,INS00090,1877.26
2026-04-19,INS00091,354.03
2026-04-19,INS00092,217.65
2026-04-19,INS00093,489.04
2026-04-19,INS00094,349.57
2026-04-19,INS00095,1127.64
2026-04-19,INS00096,911.38
2026-04-19,INS00097,2338.47
2026-04-19,INS00098,1272.53
2026-04-19,INS00099,2375.62
2026-04-19,INS00100,1926.16
2026-04-19,INS00101,220.29
2026-04-19,INS00102,2225.24
2026-04-19,INS00103,1705.52
2026-04-19,INS00104,1443.41
2026-04-19,INS00105,722.51
2026-04-19,INS00106,2464.79
2026-04-19,INS00107,2398.47
2026-04-19,INS00108,850.17
2026-04-19,INS00109,1323.90
2026-04-19,INS00110,510.14
2026-04-19,INS00111,1218.57
2026-04-19,INS00112,447.96
2026-04-19,INS00113,2172.34
2026-04-19,INS00114,1855.25
2026-04-19,INS00115,265.88
2026-04-19,INS00116,2303.84
2026-04-19,INS00117,1635.76
2026-04-19,INS00118,1655.29
2026-04-19,INS00119,558.64
2026-04-19,INS00120,760.96
