fund_movement_id,business_date,account_id,movement_type,amount,currency_code
FND00000001,2026-04-19,ACC000443,TRADE_SETTLEMENT,-1177.25,INR
FND00000002,2026-04-19,ACC000367,TRADE_SETTLEMENT,-175741.00,INR
FND00000003,2026-04-19,ACC000367,DEPOSIT,10000.00,INR
FND00000004,2026-04-19,ACC000671,TRADE_SETTLEMENT,26719.00,INR
FND00000005,2026-04-19,ACC000458,TRADE_SETTLEMENT,1237.15,INR
FND00000006,2026-04-19,ACC000256,TRADE_SETTLEMENT,-39846.00,INR
FND00000007,2026-04-19,ACC000529,TRADE_SETTLEMENT,-67345.00,INR
FND00000008,2026-04-19,ACC000717,TRADE_SETTLEMENT,12118.70,INR
FND00000009,2026-04-19,ACC000758,TRADE_SETTLEMENT,1401.66,INR
FND00000010,2026-04-19,ACC000300,TRADE_SETTLEMENT,15520.00,INR
FND00000011,2026-04-19,ACC000222,TRADE_SETTLEMENT,1378.98,INR
FND00000012,2026-04-19,ACC000088,TRADE_SETTLEMENT,-39934.75,INR
FND00000013,2026-04-19,ACC000437,TRADE_SETTLEMENT,48194.00,INR
FND00000014,2026-04-19,ACC000745,TRADE_SETTLEMENT,12090.00,INR
FND00000015,2026-04-19,ACC000328,TRADE_SETTLEMENT,3273.18,INR
FND00000016,2026-04-19,ACC000760,TRADE_SETTLEMENT,17300.40,INR
FND00000017,2026-04-19,ACC000065,TRADE_SETTLEMENT,-2669.85,INR
FND00000018,2026-04-19,ACC000072,TRADE_SETTLEMENT,-15179.90,INR
FND00000019,2026-04-19,ACC000117,TRADE_SETTLEMENT,932.75,INR
FND00000020,2026-04-19,ACC000364,TRADE_SETTLEMENT,1813.25,INR
FND00000021,2026-04-19,ACC000148,TRADE_SETTLEMENT,-13310.10,INR
FND00000022,2026-04-19,ACC000148,DEPOSIT,25000.00,INR
FND00000023,2026-04-19,ACC000785,TRADE_SETTLEMENT,6914.95,INR
FND00000024,2026-04-19,ACC000630,TRADE_SETTLEMENT,-105938.50,INR
FND00000025,2026-04-19,ACC000630,DEPOSIT,5000.00,INR
FND00000026,2026-04-19,ACC000691,TRADE_SETTLEMENT,6663.70,INR
FND00000027,2026-04-19,ACC000052,TRADE_SETTLEMENT,1287.45,INR
FND00000028,2026-04-19,ACC000140,TRADE_SETTLEMENT,-94306.00,INR
FND00000029,2026-04-19,ACC000056,TRADE_SETTLEMENT,-14938.50,INR
FND00000030,2026-04-19,ACC000079,TRADE_SETTLEMENT,-858.70,INR
FND00000031,2026-04-19,ACC000220,TRADE_SETTLEMENT,-116609.00,INR
FND00000032,2026-04-19,ACC000757,TRADE_SETTLEMENT,6200.60,INR
FND00000033,2026-04-19,ACC000573,TRADE_SETTLEMENT,22564.50,INR
FND00000034,2026-04-19,ACC000066,TRADE_SETTLEMENT,5752.60,INR
FND00000035,2026-04-19,ACC000066,DEPOSIT,5000.00,INR
FND00000036,2026-04-19,ACC000167,TRADE_SETTLEMENT,-665.00,INR
FND00000037,2026-04-19,ACC000165,TRADE_SETTLEMENT,118873.00,INR
FND00000038,2026-04-19,ACC000283,TRADE_SETTLEMENT,-27525.20,INR
FND00000039,2026-04-19,ACC000350,TRADE_SETTLEMENT,765.80,INR
FND00000040,2026-04-19,ACC000350,DEPOSIT,50000.00,INR
FND00000041,2026-04-19,ACC000097,TRADE_SETTLEMENT,32749.20,INR
FND00000042,2026-04-19,ACC000531,TRADE_SETTLEMENT,-64009.00,INR
FND00000043,2026-04-19,ACC000262,TRADE_SETTLEMENT,-139648.00,INR
