order_id,business_date,account_id,customer_id,instrument_id,order_timestamp,order_side,order_type,ordered_quantity,limit_price,order_status
ORD202604190000001,2026-04-19,ACC000443,CUST000017,INS00003,2026-04-19T09:15:01,BUY,LIMIT,5,233.16,COMPLETED
ORD202604190000002,2026-04-19,ACC000367,CUST000359,INS00017,2026-04-19T09:15:02,BUY,MARKET,100,1777.80,COMPLETED
ORD202604190000003,2026-04-19,ACC000671,CUST000323,INS00028,2026-04-19T09:15:06,SELL,MARKET,25,1078.15,COMPLETED
ORD202604190000004,2026-04-19,ACC000458,CUST000053,INS00011,2026-04-19T09:15:12,SELL,LIMIT,5,247.77,COMPLETED
ORD202604190000005,2026-04-19,ACC000256,CUST000437,INS00025,2026-04-19T09:15:15,BUY,MARKET,20,1983.33,COMPLETED
ORD202604190000006,2026-04-19,ACC000529,CUST000314,INS00099,2026-04-19T09:15:12,BUY,MARKET,100,683.53,COMPLETED
ORD202604190000007,2026-04-19,ACC000717,CUST000036,INS00086,2026-04-19T09:15:07,SELL,MARKET,10,1198.04,COMPLETED
ORD202604190000008,2026-04-19,ACC000758,CUST000051,INS00067,2026-04-19T09:15:16,SELL,MARKET,2,697.55,COMPLETED
ORD202604190000009,2026-04-19,ACC000300,CUST000395,INS00015,2026-04-19T09:15:09,SELL,LIMIT,10,1563.03,COMPLETED
ORD202604190000010,2026-04-19,ACC000176,CUST000223,INS00051,2026-04-19T09:15:30,BUY,LIMIT,10,140.36,REJECTED
ORD202604190000011,2026-04-19,ACC000222,CUST000199,INS00048,2026-04-19T09:15:33,SELL,LIMIT,2,687.09,COMPLETED
ORD202604190000012,2026-04-19,ACC000088,CUST000042,INS00008,2026-04-19T09:15:24,BUY,MARKET,25,1589.63,COMPLETED
ORD202604190000013,2026-04-19,ACC000437,CUST000138,INS00072,2026-04-19T09:15:13,SELL,LIMIT,25,1956.60,COMPLETED
ORD202604190000014,2026-04-19,ACC000491,CUST000356,INS00093,2026-04-19T09:15:42,BUY,LIMIT,5,691.59,CANCELLED
ORD202604190000015,2026-04-19,ACC000772,CUST000086,INS00038,2026-04-19T09:15:30,BUY,LIMIT,100,552.69,REJECTED
ORD202604190000016,2026-04-19,ACC000641,CUST000237,INS00036,2026-04-19T09:15:32,BUY,LIMIT,5,277.04,CANCELLED
ORD202604190000017,2026-04-19,ACC000745,CUST000266,INS00047,2026-04-19T09:15:17,SELL,LIMIT,100,121.64,COMPLETED
ORD202604190000018,2026-04-19,ACC000328,CUST000494,INS00042,2026-04-19T09:15:54,SELL,LIMIT,2,1620.90,COMPLETED
ORD202604190000019,2026-04-19,ACC000760,CUST000382,INS00020,2026-04-19T09:15:19,SELL,MARKET,20,855.53,COMPLETED
ORD202604190000020,2026-04-19,ACC000065,CUST000299,INS00107,2026-04-19T09:15:20,BUY,LIMIT,5,527.30,COMPLETED
ORD202604190000021,2026-04-19,ACC000269,CUST000197,INS00013,2026-04-19T09:16:03,SELL,LIMIT,1,1421.91,CANCELLED
ORD202604190000022,2026-04-19,ACC000072,CUST000360,INS00047,2026-04-19T09:15:22,BUY,LIMIT,10,1501.57,COMPLETED
ORD202604190000023,2026-04-19,ACC000117,CUST000469,INS00060,2026-04-19T09:16:09,SELL,MARKET,1,942.91,COMPLETED
ORD202604190000024,2026-04-19,ACC000364,CUST000295,INS00068,2026-04-19T09:15:24,SELL,MARKET,1,1794.20,COMPLETED
ORD202604190000025,2026-04-19,ACC000148,CUST000440,INS00093,2026-04-19T09:16:15,BUY,MARKET,10,1332.19,COMPLETED
ORD202604190000026,2026-04-19,ACC000785,CUST000328,INS00081,2026-04-19T09:16:18,SELL,LIMIT,5,1393.21,COMPLETED
ORD202604190000027,2026-04-19,ACC000630,CUST000059,INS00090,2026-04-19T09:16:21,BUY,LIMIT,50,2132.84,COMPLETED
ORD202604190000028,2026-04-19,ACC000691,CUST000097,INS00044,2026-04-19T09:15:56,SELL,LIMIT,5,1337.29,COMPLETED
ORD202604190000029,2026-04-19,ACC000509,CUST000312,INS00053,2026-04-19T09:15:29,SELL,MARKET,50,2003.63,REJECTED
ORD202604190000030,2026-04-19,ACC000515,CUST000464,INS00099,2026-04-19T09:16:00,SELL,MARKET,20,940.82,CANCELLED
ORD202604190000031,2026-04-19,ACC000052,CUST000452,INS00037,2026-04-19T09:16:02,SELL,MARKET,1,1300.15,COMPLETED
ORD202604190000032,2026-04-19,ACC000296,CUST000380,INS00110,2026-04-19T09:16:36,SELL,MARKET,25,169.48,REJECTED
ORD202604190000033,2026-04-19,ACC000140,CUST000099,INS00005,2026-04-19T09:16:06,BUY,MARKET,100,930.90,COMPLETED
ORD202604190000034,2026-04-19,ACC000318,CUST000376,INS00033,2026-04-19T09:15:34,SELL,MARKET,20,329.54,REJECTED
ORD202604190000035,2026-04-19,ACC000449,CUST000015,INS00102,2026-04-19T09:16:45,BUY,LIMIT,100,514.22,REJECTED
ORD202604190000036,2026-04-19,ACC000056,CUST000436,INS00094,2026-04-19T09:16:12,BUY,LIMIT,50,298.93,COMPLETED
ORD202604190000037,2026-04-19,ACC000576,CUST000137,INS00120,2026-04-19T09:15:37,BUY,LIMIT,2,2103.11,REJECTED
ORD202604190000038,2026-04-19,ACC000079,CUST000461,INS00040,2026-04-19T09:16:54,BUY,MARKET,1,848.04,COMPLETED
ORD202604190000039,2026-04-19,ACC000220,CUST000069,INS00007,2026-04-19T09:16:18,BUY,LIMIT,50,2333.97,COMPLETED
ORD202604190000040,2026-04-19,ACC000548,CUST000187,INS00019,2026-04-19T09:17:00,SELL,MARKET,5,886.46,REJECTED
ORD202604190000041,2026-04-19,ACC000757,CUST000154,INS00052,2026-04-19T09:15:41,SELL,LIMIT,20,313.98,COMPLETED
ORD202604190000042,2026-04-19,ACC000772,CUST000086,INS00026,2026-04-19T09:17:06,BUY,MARKET,100,1021.33,REJECTED
ORD202604190000043,2026-04-19,ACC000333,CUST000209,INS00010,2026-04-19T09:15:43,SELL,MARKET,20,1891.04,REJECTED
ORD202604190000044,2026-04-19,ACC000573,CUST000383,INS00055,2026-04-19T09:17:12,SELL,MARKET,25,914.14,COMPLETED
ORD202604190000045,2026-04-19,ACC000420,CUST000498,INS00022,2026-04-19T09:15:45,SELL,LIMIT,25,1524.98,REJECTED
ORD202604190000046,2026-04-19,ACC000066,CUST000335,INS00119,2026-04-19T09:17:18,SELL,MARKET,10,575.28,COMPLETED
ORD202604190000047,2026-04-19,ACC000167,CUST000483,INS00095,2026-04-19T09:15:47,BUY,LIMIT,1,674.15,COMPLETED
ORD202604190000048,2026-04-19,ACC000165,CUST000365,INS00040,2026-04-19T09:17:24,SELL,MARKET,100,1194.31,COMPLETED
ORD202604190000049,2026-04-19,ACC000283,CUST000305,INS00070,2026-04-19T09:16:38,BUY,MARKET,20,1371.26,COMPLETED
