fund_movement_id,business_date,account_id,movement_type,amount,currency_code
FND00000001,2026-04-20,ACC000526,TRADE_SETTLEMENT,14468.80,INR
FND00000002,2026-04-20,ACC000441,TRADE_SETTLEMENT,95768.50,INR
FND00000003,2026-04-20,ACC000115,TRADE_SETTLEMENT,82618.50,INR
FND00000004,2026-04-20,ACC000340,TRADE_SETTLEMENT,20280.60,INR
FND00000005,2026-04-20,ACC000082,TRADE_SETTLEMENT,-2127.02,INR
FND00000006,2026-04-20,ACC000173,TRADE_SETTLEMENT,1636.55,INR
FND00000007,2026-04-20,ACC000257,TRADE_SETTLEMENT,5677.40,INR
FND00000008,2026-04-20,ACC000257,DEPOSIT,10000.00,INR
FND00000009,2026-04-20,ACC000364,TRADE_SETTLEMENT,-48001.50,INR
FND00000010,2026-04-20,ACC000240,TRADE_SETTLEMENT,3082.98,INR
FND00000011,2026-04-20,ACC000519,TRADE_SETTLEMENT,-4312.38,INR
FND00000012,2026-04-20,ACC000532,TRADE_SETTLEMENT,7220.25,INR
FND00000013,2026-04-20,ACC000285,TRADE_SETTLEMENT,15841.20,INR
FND00000014,2026-04-20,ACC000285,DEPOSIT,25000.00,INR
FND00000015,2026-04-20,ACC000493,TRADE_SETTLEMENT,258.14,INR
FND00000016,2026-04-20,ACC000071,TRADE_SETTLEMENT,-194945.00,INR
FND00000017,2026-04-20,ACC000114,TRADE_SETTLEMENT,891.90,INR
FND00000018,2026-04-20,ACC000736,TRADE_SETTLEMENT,112871.00,INR
FND00000019,2026-04-20,ACC000168,TRADE_SETTLEMENT,988.73,INR
FND00000020,2026-04-20,ACC000168,DEPOSIT,50000.00,INR
FND00000021,2026-04-20,ACC000426,TRADE_SETTLEMENT,-4267.52,INR
FND00000022,2026-04-20,ACC000054,TRADE_SETTLEMENT,-3520.50,INR
FND00000023,2026-04-20,ACC000481,TRADE_SETTLEMENT,-353.81,INR
FND00000024,2026-04-20,ACC000268,TRADE_SETTLEMENT,11021.50,INR
FND00000025,2026-04-20,ACC000238,TRADE_SETTLEMENT,-95118.00,INR
FND00000026,2026-04-20,ACC000692,TRADE_SETTLEMENT,-9897.80,INR
FND00000027,2026-04-20,ACC000377,TRADE_SETTLEMENT,8500.60,INR
FND00000028,2026-04-20,ACC000305,TRADE_SETTLEMENT,51410.00,INR
FND00000029,2026-04-20,ACC000539,TRADE_SETTLEMENT,7871.00,INR
FND00000030,2026-04-20,ACC000300,TRADE_SETTLEMENT,-35160.20,INR
FND00000031,2026-04-20,ACC000586,TRADE_SETTLEMENT,2068.35,INR
FND00000032,2026-04-20,ACC000641,TRADE_SETTLEMENT,8060.00,INR
FND00000033,2026-04-20,ACC000520,TRADE_SETTLEMENT,-43896.00,INR
FND00000034,2026-04-20,ACC000399,TRADE_SETTLEMENT,-59779.00,INR
FND00000035,2026-04-20,ACC000399,DEPOSIT,50000.00,INR
FND00000036,2026-04-20,ACC000056,TRADE_SETTLEMENT,179430.00,INR
FND00000037,2026-04-20,ACC000305,TRADE_SETTLEMENT,28279.80,INR
FND00000038,2026-04-20,ACC000122,TRADE_SETTLEMENT,-193363.00,INR
FND00000039,2026-04-20,ACC000373,TRADE_SETTLEMENT,-43984.50,INR
FND00000040,2026-04-20,ACC000056,TRADE_SETTLEMENT,251.33,INR
FND00000041,2026-04-20,ACC000338,TRADE_SETTLEMENT,7700.35,INR
FND00000042,2026-04-20,ACC000033,TRADE_SETTLEMENT,5944.80,INR
FND00000043,2026-04-20,ACC000033,DEPOSIT,5000.00,INR
FND00000044,2026-04-20,ACC000071,TRADE_SETTLEMENT,-23801.30,INR
FND00000045,2026-04-20,ACC000071,DEPOSIT,50000.00,INR
FND00000046,2026-04-20,ACC000396,TRADE_SETTLEMENT,2666.04,INR
FND00000047,2026-04-20,ACC000079,TRADE_SETTLEMENT,-8275.85,INR
FND00000048,2026-04-20,ACC000762,TRADE_SETTLEMENT,-1760.38,INR
FND00000049,2026-04-20,ACC000576,TRADE_SETTLEMENT,99507.00,INR
FND00000050,2026-04-20,ACC000280,TRADE_SETTLEMENT,-724.12,INR
FND00000051,2026-04-20,ACC000280,DEPOSIT,25000.00,INR
FND00000052,2026-04-20,ACC000269,TRADE_SETTLEMENT,-5476.80,INR
FND00000053,2026-04-20,ACC000516,TRADE_SETTLEMENT,1100.59,INR
FND00000054,2026-04-20,ACC000383,TRADE_SETTLEMENT,-1715.98,INR
FND00000055,2026-04-20,ACC000383,DEPOSIT,10000.00,INR
FND00000056,2026-04-20,ACC000598,TRADE_SETTLEMENT,4501.90,INR
FND00000057,2026-04-20,ACC000350,TRADE_SETTLEMENT,5837.55,INR
FND00000058,2026-04-20,ACC000383,TRADE_SETTLEMENT,70841.50,INR
FND00000059,2026-04-20,ACC000412,TRADE_SETTLEMENT,56579.00,INR
