trade_id,business_date,order_id,account_id,customer_id,instrument_id,trade_side,trade_timestamp,executed_quantity,executed_price,brokerage_fee,tax_amount
TRD00000001,2026-04-20,ORD202604200000002,ACC000526,CUST000357,INS00037,SELL,2026-04-20T09:15:17,20,723.44,5.00,2.60
TRD00000002,2026-04-20,ORD202604200000003,ACC000441,CUST000400,INS00093,SELL,2026-04-20T09:15:38,50,1915.37,28.73,17.24
TRD00000003,2026-04-20,ORD202604200000004,ACC000115,CUST000107,INS00071,SELL,2026-04-20T09:15:22,50,1652.37,24.79,14.87
TRD00000004,2026-04-20,ORD202604200000005,ACC000340,CUST000285,INS00043,SELL,2026-04-20T09:15:24,10,2028.06,6.08,3.65
TRD00000005,2026-04-20,ORD202604200000006,ACC000082,CUST000203,INS00110,BUY,2026-04-20T09:15:57,2,1063.51,5.00,0.38
TRD00000006,2026-04-20,ORD202604200000007,ACC000173,CUST000464,INS00034,SELL,2026-04-20T09:15:34,5,327.31,5.00,0.29
TRD00000007,2026-04-20,ORD202604200000009,ACC000257,CUST000051,INS00114,SELL,2026-04-20T09:15:28,10,567.74,5.00,1.02
TRD00000008,2026-04-20,ORD202604200000010,ACC000364,CUST000295,INS00047,BUY,2026-04-20T09:15:37,25,1920.06,14.40,8.64
TRD00000009,2026-04-20,ORD202604200000013,ACC000240,CUST000316,INS00098,SELL,2026-04-20T09:15:42,2,1541.49,5.00,0.55
TRD00000010,2026-04-20,ORD202604200000014,ACC000519,CUST000049,INS00031,BUY,2026-04-20T09:16:16,2,2156.19,5.00,0.78
TRD00000011,2026-04-20,ORD202604200000016,ACC000532,CUST000361,INS00037,SELL,2026-04-20T09:16:13,5,1444.05,5.00,1.30
TRD00000012,2026-04-20,ORD202604200000017,ACC000285,CUST000216,INS00042,SELL,2026-04-20T09:15:56,10,1584.12,5.00,2.85
TRD00000013,2026-04-20,ORD202604200000018,ACC000493,CUST000034,INS00031,SELL,2026-04-20T09:16:10,1,258.14,5.00,0.05
TRD00000014,2026-04-20,ORD202604200000020,ACC000071,CUST000233,INS00044,BUY,2026-04-20T09:16:21,100,1949.45,58.48,35.09
TRD00000015,2026-04-20,ORD202604200000021,ACC000114,CUST000097,INS00004,SELL,2026-04-20T09:15:35,2,445.95,5.00,0.16
TRD00000016,2026-04-20,ORD202604200000022,ACC000736,CUST000183,INS00082,SELL,2026-04-20T09:16:12,50,2257.42,33.86,20.32
TRD00000017,2026-04-20,ORD202604200000024,ACC000168,CUST000053,INS00093,SELL,2026-04-20T09:16:39,1,988.73,5.00,0.18
TRD00000018,2026-04-20,ORD202604200000025,ACC000426,CUST000213,INS00078,BUY,2026-04-20T09:16:37,2,2133.76,5.00,0.77
TRD00000019,2026-04-20,ORD202604200000026,ACC000054,CUST000005,INS00050,BUY,2026-04-20T09:15:59,25,140.82,5.00,0.63
TRD00000020,2026-04-20,ORD202604200000027,ACC000481,CUST000162,INS00075,BUY,2026-04-20T09:15:43,1,353.81,5.00,0.06
TRD00000021,2026-04-20,ORD202604200000028,ACC000268,CUST000356,INS00011,SELL,2026-04-20T09:15:52,50,220.43,5.00,1.98
TRD00000022,2026-04-20,ORD202604200000029,ACC000238,CUST000398,INS00072,BUY,2026-04-20T09:16:00,50,1902.36,28.54,17.12
TRD00000023,2026-04-20,ORD202604200000032,ACC000692,CUST000268,INS00113,BUY,2026-04-20T09:16:08,20,494.89,5.00,1.78
TRD00000024,2026-04-20,ORD202604200000033,ACC000377,CUST000406,INS00108,SELL,2026-04-20T09:17:10,20,425.03,5.00,1.53
TRD00000025,2026-04-20,ORD202604200000034,ACC000305,CUST000131,INS00108,SELL,2026-04-20T09:16:57,100,514.10,15.42,9.25
TRD00000026,2026-04-20,ORD202604200000038,ACC000539,CUST000124,INS00057,SELL,2026-04-20T09:15:45,50,157.42,5.00,1.42
TRD00000027,2026-04-20,ORD202604200000039,ACC000300,CUST000395,INS00078,BUY,2026-04-20T09:15:44,20,1758.01,10.55,6.33
TRD00000028,2026-04-20,ORD202604200000042,ACC000586,CUST000280,INS00092,SELL,2026-04-20T09:16:28,1,2068.35,5.00,0.37
TRD00000029,2026-04-20,ORD202604200000043,ACC000641,CUST000237,INS00117,SELL,2026-04-20T09:16:22,50,161.20,5.00,1.45
TRD00000030,2026-04-20,ORD202604200000045,ACC000520,CUST000340,INS00040,BUY,2026-04-20T09:17:14,20,2194.80,13.17,7.90
