account_id,instrument_id,holding_quantity,average_cost,market_price,market_value
ACC000458,INS00112,100,207.27,1585.07,158507.00
ACC000701,INS00090,20,777.78,2269.41,45388.20
ACC000115,INS00042,2,138.54,972.89,1945.78
ACC000766,INS00088,5,406.52,2020.34,10101.70
ACC000449,INS00094,2,242.12,2000.34,4000.68
ACC000671,INS00060,1,658.32,1343.46,1343.46
ACC000056,INS00030,25,1971.98,584.86,14621.50
ACC000273,INS00091,10,2012.73,659.48,6594.80
ACC000038,INS00008,5,2133.62,766.07,3830.35
ACC000143,INS00091,100,1952.90,659.48,65948.00
ACC000254,INS00043,20,346.25,1915.79,38315.80
ACC000037,INS00078,50,691.09,1393.14,69657.00
ACC000270,INS00066,25,271.22,1884.91,47122.75
ACC000071,INS00100,2,791.98,1574.78,3149.56
ACC000130,INS00044,20,1107.75,1618.82,32376.40
ACC000761,INS00018,5,1274.24,752.55,3762.75
ACC000618,INS00097,20,719.10,1716.77,34335.40
ACC000325,INS00088,10,1596.89,2020.34,20203.40
ACC000741,INS00043,10,1737.48,1915.79,19157.90
ACC000057,INS00104,10,452.59,1722.89,17228.90
ACC000476,INS00039,25,239.05,520.06,13001.50
ACC000555,INS00078,5,948.39,1393.14,6965.70
ACC000557,INS00019,100,2355.61,2414.55,241455.00
ACC000667,INS00106,100,579.26,2136.02,213602.00
ACC000635,INS00089,50,1111.67,1589.47,79473.50
ACC000723,INS00075,1,1466.72,1247.85,1247.85
ACC000463,INS00042,5,2216.22,972.89,4864.45
ACC000625,INS00067,100,248.97,1763.64,176364.00
ACC000447,INS00112,10,1560.31,1585.07,15850.70
ACC000504,INS00003,20,1272.59,364.15,7283.00
ACC000514,INS00087,25,281.83,719.06,17976.50
ACC000358,INS00021,50,1142.25,908.06,45403.00
ACC000067,INS00115,100,1361.20,397.63,39763.00
ACC000303,INS00116,10,1319.55,2092.39,20923.90
ACC000009,INS00026,25,1512.21,1516.51,37912.75
ACC000035,INS00110,10,1447.29,2194.75,21947.50
ACC000646,INS00079,2,2048.42,596.47,1192.94
ACC000562,INS00004,10,236.21,422.78,4227.80
ACC000094,INS00012,20,2204.54,2291.32,45826.40
ACC000052,INS00066,1,1947.16,1884.91,1884.91
ACC000082,INS00060,100,1373.83,1343.46,134346.00
ACC000437,INS00032,100,125.34,157.01,15701.00
