trade_id,business_date,order_id,account_id,customer_id,instrument_id,trade_side,trade_timestamp,executed_quantity,executed_price,brokerage_fee,tax_amount
TRD00000001,2026-04-21,ORD202604210000002,ACC000504,CUST000079,INS00036,SELL,2026-04-21T09:15:38,2,2090.00,5.00,0.75
TRD00000002,2026-04-21,ORD202604210000003,ACC000133,CUST000212,INS00017,SELL,2026-04-21T09:15:33,5,587.62,5.00,0.53
TRD00000003,2026-04-21,ORD202604210000005,ACC000344,CUST000301,INS00118,SELL,2026-04-21T09:15:34,25,1855.76,13.92,8.35
TRD00000004,2026-04-21,ORD202604210000006,ACC000458,CUST000053,INS00112,BUY,2026-04-21T09:15:49,100,207.27,6.22,3.73
TRD00000005,2026-04-21,ORD202604210000007,ACC000701,CUST000229,INS00090,BUY,2026-04-21T09:15:49,20,777.78,5.00,2.80
TRD00000006,2026-04-21,ORD202604210000008,ACC000723,CUST000417,INS00012,SELL,2026-04-21T09:15:44,2,1082.06,5.00,0.39
TRD00000007,2026-04-21,ORD202604210000009,ACC000758,CUST000051,INS00093,SELL,2026-04-21T09:15:36,25,1780.80,13.36,8.01
TRD00000008,2026-04-21,ORD202604210000010,ACC000115,CUST000107,INS00042,BUY,2026-04-21T09:15:51,2,138.54,5.00,0.05
TRD00000009,2026-04-21,ORD202604210000011,ACC000766,CUST000324,INS00088,BUY,2026-04-21T09:15:43,5,406.52,5.00,0.37
TRD00000010,2026-04-21,ORD202604210000018,ACC000449,CUST000015,INS00094,BUY,2026-04-21T09:15:23,2,242.12,5.00,0.09
TRD00000011,2026-04-21,ORD202604210000019,ACC000671,CUST000323,INS00060,BUY,2026-04-21T09:16:13,1,658.32,5.00,0.12
TRD00000012,2026-04-21,ORD202604210000025,ACC000056,CUST000436,INS00030,BUY,2026-04-21T09:16:56,25,1971.98,14.79,8.87
TRD00000013,2026-04-21,ORD202604210000026,ACC000283,CUST000305,INS00120,SELL,2026-04-21T09:16:55,20,2012.82,12.08,7.25
TRD00000014,2026-04-21,ORD202604210000029,ACC000322,CUST000054,INS00087,SELL,2026-04-21T09:16:22,2,2334.33,5.00,0.84
TRD00000015,2026-04-21,ORD202604210000030,ACC000346,CUST000048,INS00102,SELL,2026-04-21T09:16:33,2,1622.87,5.00,0.58
TRD00000016,2026-04-21,ORD202604210000031,ACC000273,CUST000180,INS00091,BUY,2026-04-21T09:16:07,10,2012.73,6.04,3.62
TRD00000017,2026-04-21,ORD202604210000033,ACC000746,CUST000346,INS00023,SELL,2026-04-21T09:16:42,100,437.49,13.12,7.87
TRD00000018,2026-04-21,ORD202604210000034,ACC000038,CUST000420,INS00008,BUY,2026-04-21T09:16:04,5,2133.62,5.00,1.92
TRD00000019,2026-04-21,ORD202604210000036,ACC000143,CUST000116,INS00091,BUY,2026-04-21T09:15:49,100,1952.90,58.59,35.15
TRD00000020,2026-04-21,ORD202604210000038,ACC000041,CUST000104,INS00061,SELL,2026-04-21T09:15:55,10,2112.14,6.34,3.80
TRD00000021,2026-04-21,ORD202604210000040,ACC000254,CUST000423,INS00043,BUY,2026-04-21T09:17:10,20,346.25,5.00,1.25
TRD00000022,2026-04-21,ORD202604210000042,ACC000037,CUST000063,INS00078,BUY,2026-04-21T09:17:01,50,691.09,10.37,6.22
TRD00000023,2026-04-21,ORD202604210000043,ACC000270,CUST000161,INS00066,BUY,2026-04-21T09:15:50,25,271.22,5.00,1.22
TRD00000024,2026-04-21,ORD202604210000044,ACC000071,CUST000233,INS00100,BUY,2026-04-21T09:17:49,2,791.98,5.00,0.29
TRD00000025,2026-04-21,ORD202604210000046,ACC000130,CUST000369,INS00044,BUY,2026-04-21T09:17:03,20,1107.75,6.65,3.99
TRD00000026,2026-04-21,ORD202604210000047,ACC000761,CUST000287,INS00018,BUY,2026-04-21T09:16:39,5,1274.24,5.00,1.15
TRD00000027,2026-04-21,ORD202604210000048,ACC000355,CUST000103,INS00011,SELL,2026-04-21T09:17:43,2,782.29,5.00,0.28
TRD00000028,2026-04-21,ORD202604210000049,ACC000670,CUST000023,INS00108,SELL,2026-04-21T09:16:31,10,2349.36,7.05,4.23
TRD00000029,2026-04-21,ORD202604210000052,ACC000043,CUST000380,INS00009,SELL,2026-04-21T09:18:07,100,456.09,13.68,8.21
TRD00000030,2026-04-21,ORD202604210000053,ACC000618,CUST000024,INS00097,BUY,2026-04-21T09:16:07,20,719.10,5.00,2.59
TRD00000031,2026-04-21,ORD202604210000054,ACC000325,CUST000459,INS00088,BUY,2026-04-21T09:16:10,10,1596.89,5.00,2.87
TRD00000032,2026-04-21,ORD202604210000055,ACC000385,CUST000178,INS00075,SELL,2026-04-21T09:17:14,5,631.59,5.00,0.57
TRD00000033,2026-04-21,ORD202604210000057,ACC000393,CUST000232,INS00062,SELL,2026-04-21T09:18:13,50,1595.52,23.93,14.36
TRD00000034,2026-04-21,ORD202604210000060,ACC000308,CUST000472,INS00098,SELL,2026-04-21T09:18:22,25,403.05,5.00,1.81
TRD00000035,2026-04-21,ORD202604210000063,ACC000285,CUST000216,INS00120,SELL,2026-04-21T09:18:46,20,1198.85,7.19,4.32
TRD00000036,2026-04-21,ORD202604210000064,ACC000741,CUST000114,INS00043,BUY,2026-04-21T09:16:31,10,1737.48,5.21,3.13
TRD00000037,2026-04-21,ORD202604210000065,ACC000057,CUST000415,INS00104,BUY,2026-04-21T09:16:50,10,452.59,5.00,0.81
TRD00000038,2026-04-21,ORD202604210000066,ACC000127,CUST000336,INS00115,SELL,2026-04-21T09:18:56,100,1066.72,32.00,19.20
TRD00000039,2026-04-21,ORD202604210000069,ACC000058,CUST000332,INS00116,SELL,2026-04-21T09:16:13,100,755.07,22.65,13.59
TRD00000040,2026-04-21,ORD202604210000072,ACC000411,CUST000135,INS00109,SELL,2026-04-21T09:16:39,10,1530.14,5.00,2.75
TRD00000041,2026-04-21,ORD202604210000075,ACC000476,CUST000028,INS00039,BUY,2026-04-21T09:17:58,25,239.05,5.00,1.08
TRD00000042,2026-04-21,ORD202604210000077,ACC000555,CUST000055,INS00078,BUY,2026-04-21T09:16:50,5,948.39,5.00,0.85
TRD00000043,2026-04-21,ORD202604210000078,ACC000557,CUST000423,INS00019,BUY,2026-04-21T09:16:46,100,2355.61,70.67,42.40
TRD00000044,2026-04-21,ORD202604210000080,ACC000632,CUST000344,INS00047,SELL,2026-04-21T09:19:27,5,414.27,5.00,0.37
TRD00000045,2026-04-21,ORD202604210000082,ACC000667,CUST000416,INS00106,BUY,2026-04-21T09:17:00,100,579.26,17.38,10.43
TRD00000046,2026-04-21,ORD202604210000083,ACC000635,CUST000146,INS00089,BUY,2026-04-21T09:18:03,50,1111.67,16.68,10.01
TRD00000047,2026-04-21,ORD202604210000087,ACC000227,CUST000488,INS00026,SELL,2026-04-21T09:19:25,20,2338.04,14.03,8.42
TRD00000048,2026-04-21,ORD202604210000091,ACC000723,CUST000417,INS00075,BUY,2026-04-21T09:16:34,1,1466.72,5.00,0.26
TRD00000049,2026-04-21,ORD202604210000094,ACC000463,CUST000077,INS00042,BUY,2026-04-21T09:17:03,5,2216.22,5.00,1.99
TRD00000050,2026-04-21,ORD202604210000096,ACC000625,CUST000284,INS00067,BUY,2026-04-21T09:16:52,100,248.97,7.47,4.48
TRD00000051,2026-04-21,ORD202604210000097,ACC000447,CUST000492,INS00112,BUY,2026-04-21T09:16:56,10,1560.31,5.00,2.81
TRD00000052,2026-04-21,ORD202604210000099,ACC000504,CUST000079,INS00003,BUY,2026-04-21T09:18:55,20,1272.59,7.64,4.58
TRD00000053,2026-04-21,ORD202604210000100,ACC000734,CUST000378,INS00088,SELL,2026-04-21T09:16:45,2,2259.54,5.00,0.81
TRD00000054,2026-04-21,ORD202604210000101,ACC000041,CUST000104,INS00089,SELL,2026-04-21T09:20:11,20,1734.54,10.41,6.24
TRD00000055,2026-04-21,ORD202604210000102,ACC000514,CUST000487,INS00087,BUY,2026-04-21T09:20:23,25,281.83,5.00,1.27
TRD00000056,2026-04-21,ORD202604210000103,ACC000358,CUST000468,INS00021,BUY,2026-04-21T09:18:58,50,1142.25,17.13,10.28
TRD00000057,2026-04-21,ORD202604210000104,ACC000515,CUST000464,INS00103,SELL,2026-04-21T09:18:59,50,1815.82,27.24,16.34
TRD00000058,2026-04-21,ORD202604210000105,ACC000067,CUST000342,INS00115,BUY,2026-04-21T09:19:07,100,1361.20,40.84,24.50
TRD00000059,2026-04-21,ORD202604210000106,ACC000331,CUST000070,INS00080,SELL,2026-04-21T09:20:37,2,1210.72,5.00,0.44
TRD00000060,2026-04-21,ORD202604210000109,ACC000303,CUST000234,INS00116,BUY,2026-04-21T09:19:13,10,1319.55,5.00,2.38
TRD00000061,2026-04-21,ORD202604210000110,ACC000235,CUST000280,INS00075,SELL,2026-04-21T09:20:37,1,201.29,5.00,0.04
TRD00000062,2026-04-21,ORD202604210000111,ACC000651,CUST000187,INS00112,SELL,2026-04-21T09:21:06,1,1801.66,5.00,0.32
TRD00000063,2026-04-21,ORD202604210000112,ACC000102,CUST000155,INS00026,SELL,2026-04-21T09:17:21,1,1247.68,5.00,0.22
