order_id,business_date,account_id,customer_id,instrument_id,order_timestamp,order_side,order_type,ordered_quantity,limit_price,order_status
ORD202604210000001,2026-04-21,ACC000420,CUST000498,INS00020,2026-04-21T09:15:02,BUY,LIMIT,50,183.11,REJECTED
ORD202604210000002,2026-04-21,ACC000504,CUST000079,INS00036,2026-04-21T09:15:06,SELL,MARKET,2,2096.17,COMPLETED
ORD202604210000003,2026-04-21,ACC000133,CUST000212,INS00017,2026-04-21T09:15:09,SELL,LIMIT,5,596.27,COMPLETED
ORD202604210000004,2026-04-21,ACC000295,CUST000314,INS00054,2026-04-21T09:15:08,BUY,LIMIT,50,1269.57,REJECTED
ORD202604210000005,2026-04-21,ACC000344,CUST000301,INS00118,2026-04-21T09:15:05,SELL,LIMIT,25,1842.24,COMPLETED
ORD202604210000006,2026-04-21,ACC000458,CUST000053,INS00112,2026-04-21T09:15:12,BUY,MARKET,100,206.71,COMPLETED
ORD202604210000007,2026-04-21,ACC000701,CUST000229,INS00090,2026-04-21T09:15:21,BUY,MARKET,20,766.96,COMPLETED
ORD202604210000008,2026-04-21,ACC000723,CUST000417,INS00012,2026-04-21T09:15:24,SELL,MARKET,2,1091.49,COMPLETED
ORD202604210000009,2026-04-21,ACC000758,CUST000051,INS00093,2026-04-21T09:15:09,SELL,LIMIT,25,1779.86,COMPLETED
ORD202604210000010,2026-04-21,ACC000115,CUST000107,INS00042,2026-04-21T09:15:20,BUY,LIMIT,2,139.23,COMPLETED
ORD202604210000011,2026-04-21,ACC000766,CUST000324,INS00088,2026-04-21T09:15:33,BUY,LIMIT,5,402.90,COMPLETED
ORD202604210000012,2026-04-21,ACC000675,CUST000311,INS00100,2026-04-21T09:15:36,SELL,LIMIT,50,202.96,CANCELLED
ORD202604210000013,2026-04-21,ACC000592,CUST000476,INS00119,2026-04-21T09:15:13,SELL,MARKET,2,944.94,CANCELLED
ORD202604210000014,2026-04-21,ACC000773,CUST000339,INS00088,2026-04-21T09:15:42,SELL,MARKET,20,1252.54,CANCELLED
ORD202604210000015,2026-04-21,ACC000364,CUST000295,INS00107,2026-04-21T09:15:45,SELL,MARKET,25,1160.98,REJECTED
ORD202604210000016,2026-04-21,ACC000777,CUST000135,INS00044,2026-04-21T09:15:32,BUY,MARKET,2,1493.33,REJECTED
ORD202604210000017,2026-04-21,ACC000471,CUST000242,INS00049,2026-04-21T09:15:34,BUY,MARKET,1,2064.75,CANCELLED
ORD202604210000018,2026-04-21,ACC000449,CUST000015,INS00094,2026-04-21T09:15:18,BUY,MARKET,2,244.82,COMPLETED
ORD202604210000019,2026-04-21,ACC000671,CUST000323,INS00060,2026-04-21T09:15:38,BUY,LIMIT,1,664.45,COMPLETED
ORD202604210000020,2026-04-21,ACC000641,CUST000237,INS00119,2026-04-21T09:16:00,SELL,LIMIT,100,1075.12,REJECTED
ORD202604210000021,2026-04-21,ACC000006,CUST000275,INS00055,2026-04-21T09:16:03,BUY,MARKET,20,324.68,REJECTED
ORD202604210000022,2026-04-21,ACC000008,CUST000188,INS00061,2026-04-21T09:15:22,SELL,MARKET,5,2164.92,CANCELLED
ORD202604210000023,2026-04-21,ACC000366,CUST000184,INS00099,2026-04-21T09:15:23,SELL,MARKET,25,920.92,CANCELLED
ORD202604210000024,2026-04-21,ACC000333,CUST000209,INS00026,2026-04-21T09:15:24,BUY,MARKET,20,1927.98,CANCELLED
ORD202604210000025,2026-04-21,ACC000056,CUST000436,INS00030,2026-04-21T09:16:15,BUY,MARKET,25,1982.05,COMPLETED
ORD202604210000026,2026-04-21,ACC000283,CUST000305,INS00120,2026-04-21T09:16:18,SELL,LIMIT,20,2029.65,COMPLETED
ORD202604210000027,2026-04-21,ACC000367,CUST000359,INS00063,2026-04-21T09:16:21,BUY,LIMIT,25,254.26,CANCELLED
ORD202604210000028,2026-04-21,ACC000270,CUST000161,INS00073,2026-04-21T09:16:24,BUY,MARKET,5,1276.62,CANCELLED
ORD202604210000029,2026-04-21,ACC000322,CUST000054,INS00087,2026-04-21T09:15:58,SELL,LIMIT,2,2334.45,COMPLETED
ORD202604210000030,2026-04-21,ACC000346,CUST000048,INS00102,2026-04-21T09:16:00,SELL,LIMIT,2,1601.67,COMPLETED
ORD202604210000031,2026-04-21,ACC000273,CUST000180,INS00091,2026-04-21T09:16:02,BUY,MARKET,10,2016.92,COMPLETED
ORD202604210000032,2026-04-21,ACC000533,CUST000448,INS00073,2026-04-21T09:15:32,SELL,LIMIT,50,963.05,REJECTED
ORD202604210000033,2026-04-21,ACC000746,CUST000346,INS00023,2026-04-21T09:16:39,SELL,MARKET,100,442.05,COMPLETED
ORD202604210000034,2026-04-21,ACC000038,CUST000420,INS00008,2026-04-21T09:15:34,BUY,MARKET,5,2152.85,COMPLETED
ORD202604210000035,2026-04-21,ACC000630,CUST000059,INS00061,2026-04-21T09:16:10,BUY,MARKET,2,958.24,CANCELLED
ORD202604210000036,2026-04-21,ACC000143,CUST000116,INS00091,2026-04-21T09:15:36,BUY,LIMIT,100,1929.36,COMPLETED
ORD202604210000037,2026-04-21,ACC000173,CUST000464,INS00014,2026-04-21T09:15:37,BUY,LIMIT,5,1987.99,CANCELLED
ORD202604210000038,2026-04-21,ACC000041,CUST000104,INS00061,2026-04-21T09:15:38,SELL,MARKET,10,2093.14,COMPLETED
ORD202604210000039,2026-04-21,ACC000115,CUST000107,INS00004,2026-04-21T09:16:57,SELL,LIMIT,10,1556.66,REJECTED
ORD202604210000040,2026-04-21,ACC000254,CUST000423,INS00043,2026-04-21T09:17:00,BUY,LIMIT,20,348.93,COMPLETED
ORD202604210000041,2026-04-21,ACC000469,CUST000184,INS00049,2026-04-21T09:17:03,BUY,LIMIT,100,807.92,CANCELLED
ORD202604210000042,2026-04-21,ACC000037,CUST000063,INS00078,2026-04-21T09:16:24,BUY,LIMIT,50,698.15,COMPLETED
ORD202604210000043,2026-04-21,ACC000270,CUST000161,INS00066,2026-04-21T09:15:43,BUY,MARKET,25,274.87,COMPLETED
ORD202604210000044,2026-04-21,ACC000071,CUST000233,INS00100,2026-04-21T09:17:12,BUY,MARKET,2,803.79,COMPLETED
ORD202604210000045,2026-04-21,ACC000405,CUST000050,INS00043,2026-04-21T09:17:15,BUY,LIMIT,20,249.29,CANCELLED
ORD202604210000046,2026-04-21,ACC000130,CUST000369,INS00044,2026-04-21T09:16:32,BUY,LIMIT,20,1107.58,COMPLETED
ORD202604210000047,2026-04-21,ACC000761,CUST000287,INS00018,2026-04-21T09:16:34,BUY,LIMIT,5,1258.57,COMPLETED
ORD202604210000048,2026-04-21,ACC000355,CUST000103,INS00011,2026-04-21T09:17:24,SELL,LIMIT,2,789.40,COMPLETED
ORD202604210000049,2026-04-21,ACC000670,CUST000023,INS00108,2026-04-21T09:15:49,SELL,MARKET,10,2362.76,COMPLETED
ORD202604210000050,2026-04-21,ACC000217,CUST000199,INS00098,2026-04-21T09:15:50,SELL,LIMIT,2,2185.51,CANCELLED
ORD202604210000051,2026-04-21,ACC000013,CUST000102,INS00115,2026-04-21T09:17:33,BUY,LIMIT,1,1802.68,CANCELLED
ORD202604210000052,2026-04-21,ACC000043,CUST000380,INS00009,2026-04-21T09:17:36,SELL,LIMIT,100,450.25,COMPLETED
ORD202604210000053,2026-04-21,ACC000618,CUST000024,INS00097,2026-04-21T09:15:53,BUY,LIMIT,20,710.49,COMPLETED
ORD202604210000054,2026-04-21,ACC000325,CUST000459,INS00088,2026-04-21T09:15:54,BUY,LIMIT,10,1584.51,COMPLETED
ORD202604210000055,2026-04-21,ACC000385,CUST000178,INS00075,2026-04-21T09:16:50,SELL,LIMIT,5,625.37,COMPLETED
ORD202604210000056,2026-04-21,ACC000472,CUST000391,INS00112,2026-04-21T09:17:48,BUY,MARKET,1,2124.43,REJECTED
ORD202604210000057,2026-04-21,ACC000393,CUST000232,INS00062,2026-04-21T09:17:51,SELL,MARKET,50,1610.55,COMPLETED
ORD202604210000058,2026-04-21,ACC000200,CUST000013,INS00109,2026-04-21T09:17:54,SELL,LIMIT,25,574.26,CANCELLED
ORD202604210000059,2026-04-21,ACC000236,CUST000385,INS00021,2026-04-21T09:16:58,BUY,LIMIT,50,1849.96,CANCELLED
ORD202604210000060,2026-04-21,ACC000308,CUST000472,INS00098,2026-04-21T09:18:00,SELL,LIMIT,25,397.77,COMPLETED
ORD202604210000061,2026-04-21,ACC000175,CUST000138,INS00050,2026-04-21T09:17:02,BUY,LIMIT,1,856.11,REJECTED
ORD202604210000062,2026-04-21,ACC000462,CUST000336,INS00070,2026-04-21T09:18:06,BUY,MARKET,25,2365.70,REJECTED
ORD202604210000063,2026-04-21,ACC000285,CUST000216,INS00120,2026-04-21T09:18:09,SELL,LIMIT,20,1195.56,COMPLETED
ORD202604210000064,2026-04-21,ACC000741,CUST000114,INS00043,2026-04-21T09:16:04,BUY,MARKET,10,1725.66,COMPLETED
ORD202604210000065,2026-04-21,ACC000057,CUST000415,INS00104,2026-04-21T09:16:05,BUY,LIMIT,10,450.35,COMPLETED
ORD202604210000066,2026-04-21,ACC000127,CUST000336,INS00115,2026-04-21T09:18:18,SELL,LIMIT,100,1076.64,COMPLETED
ORD202604210000067,2026-04-21,ACC000268,CUST000356,INS00108,2026-04-21T09:18:21,BUY,MARKET,2,1577.75,REJECTED
ORD202604210000068,2026-04-21,ACC000281,CUST000152,INS00013,2026-04-21T09:16:08,BUY,MARKET,5,1116.52,REJECTED
ORD202604210000069,2026-04-21,ACC000058,CUST000332,INS00116,2026-04-21T09:16:09,SELL,LIMIT,100,766.23,COMPLETED
ORD202604210000070,2026-04-21,ACC000329,CUST000436,INS00067,2026-04-21T09:16:10,BUY,MARKET,20,204.59,REJECTED
ORD202604210000071,2026-04-21,ACC000723,CUST000417,INS00120,2026-04-21T09:18:33,SELL,MARKET,50,1052.74,REJECTED
ORD202604210000072,2026-04-21,ACC000411,CUST000135,INS00109,2026-04-21T09:16:12,SELL,MARKET,10,1538.47,COMPLETED
ORD202604210000073,2026-04-21,ACC000307,CUST000126,INS00120,2026-04-21T09:17:26,SELL,LIMIT,10,997.74,REJECTED
ORD202604210000074,2026-04-21,ACC000761,CUST000287,INS00088,2026-04-21T09:16:14,SELL,MARKET,20,1102.56,REJECTED
ORD202604210000075,2026-04-21,ACC000476,CUST000028,INS00039,2026-04-21T09:17:30,BUY,LIMIT,25,237.23,COMPLETED
ORD202604210000076,2026-04-21,ACC000103,CUST000154,INS00053,2026-04-21T09:17:32,BUY,MARKET,5,1627.52,CANCELLED
ORD202604210000077,2026-04-21,ACC000555,CUST000055,INS00078,2026-04-21T09:16:17,BUY,LIMIT,5,950.95,COMPLETED
ORD202604210000078,2026-04-21,ACC000557,CUST000423,INS00019,2026-04-21T09:16:18,BUY,LIMIT,100,2364.04,COMPLETED
